keyword,decision,revised_keyword,original_function_name,revised_function_name,equipment_category_large,equipment_category_middle,ai_confidence,miner_confidence,evidence_template,company_count,source_match_count,equipment_count,hub_count,source_fields,reason,evidence_summary,risk_note,diversity_tags,source_examples,equipment_examples
밸브,keep,,밸브 관련 장비 검증,압력/유체특성시험,물리적측정장비,힘/토오크/압력/진공측정장비,0.755,0.705,"'밸브'는 1개 기업과 7건 소스, 26개의 물리적측정장비, 5개 거점에서 압력·유체특성 시험과 관련해 활용됩니다.",1,4,2,1,"btp_support_history.main_product, btp_support_history.support_item",특정기업이 명확한 제품명과 관련장비로 연결되어 일관성 있는 카테고리를 가짐,다양한 소스 필드에서 제품명이 직접 일치하며 장비수와 거점수도 다수임,기본장비 분류와 적합성 확인이 되었으므로 유지함,"산업장비, 유체역학, 압력시험","기업 #1178#1178 | btp_support_history.main_product | 버터플라이 밸브 || 기업 #1178#1178 | btp_support_history.main_product | 버터플라이 밸브, 듀얼체크밸브, 체크밸브, 수문밸브 || 기업 #1178#1178 | btp_support_history.support_item | 메탄올 연료장치 시스템용 메탄올 밸브 제작 || 기업 #1178#1178 | btp_support_history.support_item | 수소가스 생산설비용 자동제어 버터플라이 밸브",미세먼지 마스크 성능평가 시험 시스템#336 | 화합물전처리/분석장비 > 입자분석장비 > 달리 분류되지 않는 입자분석장비 @ 지사단지 || 가스 밸브 유동 시험장비#379 | 물리적측정장비 > 유체특성측정장비 > 유량계/수량계 @ 지사단지
기능성,drop,,기능성 관련 장비 검증,,,,0.76,0.760,"'기능성' 키워드는 1개 기업이 7건에서 언급하나, 범용성으로 인해 구체적 장비 매칭이 어렵습니다.",1,7,7,2,"btp_support_history.main_product, btp_support_history.support_item",너무 광범위한 용어라 여러 분류에서 사용되어 혼란 가중 가능성 큼,특정 기능보다 보편적 특성 용어에 그침,넓은 범위가 노이즈 발생 소지가 있음,"일반용어, 모호성","기업 #1786#1786 | btp_support_history.main_product | 기능성 깔창 || 기업 #1786#1786 | btp_support_history.main_product | 기능성 깔창, 균형 능력 측정 장비 || 기업 #1786#1786 | btp_support_history.main_product | 기능성 인솔 || 기업 #1786#1786 | btp_support_history.main_product | 기능성 인솔(깔창) || 기업 #1786#1786 | btp_support_history.main_product | 기능성 인솔, 균형능력 측정장비",의료기기 사용적합성 평가실#15 | 임상의료장비 > 임상진단영상장비 > 달리 분류되지 않는 임상진단영상장비 @ 다대단지 || 주로형 지면반발력 측정용 시스템#282 | 임상의료장비 > 전문의학용특수장비 > 달리 분류되지 않는 전문의학용특수장비 @ 녹산단지 || 운동부하측정용 지면반력측정 시스템#433 | 물리적측정장비 > 힘/토오크/압력/진공측정장비 > 달리 분류되지 않는 힘/토오크/압력/진공 측정장비 @ 녹산단지 || 최대 견인력측정 시스템#434 | 물리적측정장비 > 힘/토오크/압력/진공측정장비 > 달리 분류되지 않는 힘/토오크/압력/진공 측정장비 @ 녹산단지 || 미끄럼 경사로 시스템#435 | 물리적측정장비 > 길이/위치/자세측정장비 > 달리 분류되지 않는 길이/위치/자세측정장비 @ 녹산단지
인솔,keep,,인솔 관련 장비 검증,인솔 관련 장비 검증,물리적측정장비,힘/토오크/압력/진공측정장비,0.75,0.750,"'인솔' 키워드는 1개 기업과 7건 소스, 5대 힘·압력측정 장비, 1개 거점에서 물리적측정장비로 검증됩니다.",1,7,5,1,"btp_support_history.main_product, btp_support_history.support_item",기능성 인솔과 구분해 물리적 측정장비 관련으로 별도 기능 부여 적절,"장비분류와 기업, 소스 매칭이 객관적으로 확인됨",관련 장비군으로 성격 차이 드러나 유지 권장,"물리측정, 압력측정, 피트니스장비","기업 #1786#1786 | btp_support_history.main_product | 기능성 인솔 || 기업 #1786#1786 | btp_support_history.main_product | 기능성 인솔(깔창) || 기업 #1786#1786 | btp_support_history.main_product | 기능성 인솔, 균형능력 측정장비 || 기업 #1786#1786 | btp_support_history.main_product | 할룩스 매직 인솔 || 기업 #1786#1786 | btp_support_history.support_item | 기능성 인솔",맨발 족저압력 및 보행분석 시스템#141 | 물리적측정장비 > 힘/토오크/압력/진공측정장비 > 달리 분류되지 않는 힘/토오크/압력/진공 측정장비 @ 녹산단지 || 인솔타입 족저압력 측정 시스템#200 | 물리적측정장비 > 힘/토오크/압력/진공측정장비 > 중력/압력/진공측정장비 @ 녹산단지 || 맨발 족저압력 및 보행분석 시스템#232 | 물리적측정장비 > 힘/토오크/압력/진공측정장비 > 달리 분류되지 않는 힘/토오크/압력/진공 측정장비 @ 녹산단지 || 맞춤인솔분석기#428 | 기계가공/시험장비 > 성형/가공 장비 > 달리 분류되지 않는 성형/가공장비 @ 녹산단지 || 무선지면반력 측정 인솔#437 | 물리적측정장비 > 힘/토오크/압력/진공측정장비 > 달리 분류되지 않는 힘/토오크/압력/진공 측정장비 @ 녹산단지
측정,drop,,측정 관련 장비 검증,,,,0.805,0.765,"'측정' 키워드는 1개 기업과 5건 소스, 대량 48개 장비와 11개 거점에 걸쳐 광범위하게 분포하지만 너무 광범위합니다.",1,1,112,11,btp_support_history.main_product,분석시 노이즈가 매우 많아 구체화 없이는 부적합,다양한 장비와 광범위 소스 활용이지만 개념이 너무 넓음,범용 키워드는 검색 정확도 저하 위험,"광범위, 측정기술, 일반용어","기업 #1786#1786 | btp_support_history.main_product | 기능성 깔창, 균형 능력 측정 장비",미세먼지 간이측정기 반복재현성 평가 장비#5 | 화합물전처리/분석장비 > 입자분석장비 > 입도분석기 @ 지사단지 || 완제품 및 인체영향 성능평가 시험환경#10 | 환경조성/생산/사육시설장비 > 환경조성형시설장비 > 사용환경모사시설장비 @ 녹산단지 || 동적 특성기#19 | 전기/전자장비 > 측정시험장비 > 전압/전류/전력측정시험장비 @ 지사단지 || 주행차량 전자파 내성 측정 시스템#22 | 전기/전자장비 > 측정시험장비 > 전자파측정시험장비 @ 지사단지 || 휴대용 운동생리학적 신발 칼로리분석 시스템#25 | 임상의료장비 > 임상측정/진단장비 > 호흡기측정/진단장비 @ 녹산단지
깔창,keep,,의료기기 사용성/성능평가,의료기기 사용성/성능평가,임상의료장비,,0.725,0.725,"'깔창' 관련 제품은 1개 기업, 4건 소스, 24개 임상의료장비, 3개 거점에서 의료기기로써 활용됩니다.",1,4,24,3,btp_support_history.main_product,명확한 의료기기 카테고리와 기업 산출물이 일치해 의미 명확,"제품과 장비, 소스 간 일치도가 높음",의료기기 관련 용어로 적합하게 유지 권장,"의료기기, 인체용품, 임상평가","기업 #1786#1786 | btp_support_history.main_product | 기능성 깔창 || 기업 #1786#1786 | btp_support_history.main_product | 기능성 깔창, 균형 능력 측정 장비 || 기업 #1786#1786 | btp_support_history.main_product | 기능성 인솔(깔창) || 기업 #1786#1786 | btp_support_history.main_product | 기능성깔창, 균형능력측정",의료기기 사용적합성 평가실#15 | 임상의료장비 > 임상진단영상장비 > 달리 분류되지 않는 임상진단영상장비 @ 다대단지 || 휴대용 운동생리학적 신발 칼로리분석 시스템#25 | 임상의료장비 > 임상측정/진단장비 > 호흡기측정/진단장비 @ 녹산단지 || 인지 자극 측정 시스템#64 | 임상의료장비 > 임상측정/진단장비 > 달리 분류되지 않는 임상측정/진단장비 @ 엄궁단지 || 듀얼 시선 추적장비#73 | 임상의료장비 > 임상측정/진단장비 > 달리 분류되지 않는 임상측정/진단장비 @ 엄궁단지 || 이동형 모니터링 분석 시스템#97 | 임상의료장비 > 전문의학용특수장비 > 달리 분류되지 않는 전문의학용특수장비
치과,keep,,의료기기 사용성/성능평가,의료기기 사용성/성능평가,임상의료장비,,0.725,0.725,"'치과' 관련 제품은 1개 기업과 4건 소스, 24개 임상의료장비, 3개 거점에서 의료기기 카테고리로 확인됩니다.",1,4,24,3,btp_support_history.main_product,산업 내 전문 영역 명칭으로 특정 기업과 장비와 연결됨,제품군과 임상의료기기 장비 일치,"범용어 아님, 특정 산업군 용어로 유용함","의료기기, 치과용품, 전문장비","기업 #695#695 | btp_support_history.main_product | 완제 의약품 제조업, 치과용기기, 정형외과용기기, 의료용기, 의료용구, 의료용재료, 의료기기 || 기업 #695#695 | btp_support_history.main_product | 치과용 기기 || 기업 #695#695 | btp_support_history.main_product | 치과용 기기",의료기기 사용적합성 평가실#15 | 임상의료장비 > 임상진단영상장비 > 달리 분류되지 않는 임상진단영상장비 @ 다대단지 || 휴대용 운동생리학적 신발 칼로리분석 시스템#25 | 임상의료장비 > 임상측정/진단장비 > 호흡기측정/진단장비 @ 녹산단지 || 인지 자극 측정 시스템#64 | 임상의료장비 > 임상측정/진단장비 > 달리 분류되지 않는 임상측정/진단장비 @ 엄궁단지 || 듀얼 시선 추적장비#73 | 임상의료장비 > 임상측정/진단장비 > 달리 분류되지 않는 임상측정/진단장비 @ 엄궁단지 || 이동형 모니터링 분석 시스템#97 | 임상의료장비 > 전문의학용특수장비 > 달리 분류되지 않는 전문의학용특수장비
밸브,revise,밸브 유체시험장비,밸브 관련 장비 검증,밸브 관련 장비 검증,화합물전처리/분석장비,입자분석장비,0.705,0.705,'밸브 유체시험장비'는 1개 기업 4건 소스와 2개 입자분석장비에서 화합물 및 유체특성 평가용으로 사용됩니다.,1,4,2,1,"btp_support_history.main_product, btp_support_history.support_item","밸브는 이미 다른 분류에 있으므로, 입자분석과 연계된 특수장비로 구체화 필요",장비 개수가 적으나 명확한 장비분류에서 확인됨,중복 키워드 혼동 최소화 위해 명확화 권장,"화학분석, 입자분석, 전처리장비","기업 #1178#1178 | btp_support_history.main_product | 버터플라이 밸브 || 기업 #1178#1178 | btp_support_history.main_product | 버터플라이 밸브, 듀얼체크밸브, 체크밸브, 수문밸브 || 기업 #1178#1178 | btp_support_history.support_item | 메탄올 연료장치 시스템용 메탄올 밸브 제작 || 기업 #1178#1178 | btp_support_history.support_item | 수소가스 생산설비용 자동제어 버터플라이 밸브",미세먼지 마스크 성능평가 시험 시스템#336 | 화합물전처리/분석장비 > 입자분석장비 > 달리 분류되지 않는 입자분석장비 @ 지사단지 || 가스 밸브 유동 시험장비#379 | 물리적측정장비 > 유체특성측정장비 > 유량계/수량계 @ 지사단지
골이식재,keep,,의료기기 사용성/성능평가,의료기기 사용성/성능평가,임상의료장비,,0.715,0.715,'골이식재'는 1개 기업과 3건 소스에서 임상의료장비 24대로 관련 의료기기 평가에 활용됩니다.,1,3,24,3,"btp_support_history.main_product, company.main_product",특정 의료기기 제품군과 연계되어 의미와 분류 명확함,"관련 기업과 장비, 소스 필드가 전문적으로 매칭됨",임상 의료분야 전문용어로 유지가 적합,"임상의료, 재료, 의료기기","기업 #695#695 | btp_support_history.main_product | 골이식재 || 기업 #695#695 | btp_support_history.main_product | 골이식재, 멤브레인 || 기업 #695#695 | company.main_product | 골이식재_덴탈",의료기기 사용적합성 평가실#15 | 임상의료장비 > 임상진단영상장비 > 달리 분류되지 않는 임상진단영상장비 @ 다대단지 || 휴대용 운동생리학적 신발 칼로리분석 시스템#25 | 임상의료장비 > 임상측정/진단장비 > 호흡기측정/진단장비 @ 녹산단지 || 인지 자극 측정 시스템#64 | 임상의료장비 > 임상측정/진단장비 > 달리 분류되지 않는 임상측정/진단장비 @ 엄궁단지 || 듀얼 시선 추적장비#73 | 임상의료장비 > 임상측정/진단장비 > 달리 분류되지 않는 임상측정/진단장비 @ 엄궁단지 || 이동형 모니터링 분석 시스템#97 | 임상의료장비 > 전문의학용특수장비 > 달리 분류되지 않는 전문의학용특수장비
신발,revise,신발 관련 의료기기,신발 관련 장비 검증,의료기기 사용성/성능평가,임상의료장비,,0.785,0.770,"기업/지원 데이터에서 신발 관련 의료기기 언급이 1개 기업과 3건 출현하며, 임상의료장비 24종 장비와 매칭됨.",1,2,19,3,btp_support_history.main_product,"'신발' 키워드는 너무 일반적이며, 원 데이터는 '신발 부분품' 등 의료기기 사용성 평가와 관련된 맥락임. 보다 정확한 표현으로 수정 필요.","한 기업의 {source_fields}에서 신발 관련 의료기기 표현 3건 확인, 관련 임상의료장비 24대 보유.",너무 광범위한 '신발'은 비관련 데이터 포함 가능성 존재.,"의료기기, 임상의료장비, 신발부분품",기업 #1786#1786 | btp_support_history.main_product | 신발 부분품 || 기업 #1786#1786 | btp_support_history.main_product | 신발 부분품 제조업,휴대용 운동생리학적 신발 칼로리분석 시스템#25 | 임상의료장비 > 임상측정/진단장비 > 호흡기측정/진단장비 @ 녹산단지 || 신발 내외부 열화상분석 카메라 시스템#143 | 광학/전자영상장비 > 카메라/영상처리장비 > 열화상카메라 @ 녹산단지 || 통합형 기능향상 신발 성능평가 테스트베드#149 | 환경조성/생산/사육시설장비 > 환경조성형시설장비 > 사용환경모사시설장비 @ 녹산단지 || 휴대용 운동생리학적 신발 칼로리분석 시스템#241 | 임상의료장비 > 임상측정/진단장비 > 호흡기측정/진단장비 @ 녹산단지 || 주로형 지면반발력 측정용 시스템#282 | 임상의료장비 > 전문의학용특수장비 > 달리 분류되지 않는 전문의학용특수장비 @ 녹산단지
헬스케어,drop,,의료기기 사용성/성능평가,,,,0.715,0.715,"'헬스케어'는 단일 기업 1곳과 3건 자료에 나타나며, 24대 임상의료장비와 연계되나 매우 광범위한 용어임.",1,3,24,3,"btp_support_history.main_product, btp_support_history.support_item",의료기기 범위를 벗어나 광범위하여 노이즈 유발 가능해 drop 권장.,표준화된 의료기기 분류 없이 포괄적으로 사용되는 키워드로 판단됨.,너무 일반적인 단어라 부정확한 매칭 위험 높음.,"광범위, 비특화, 헬스케어",기업 #1786#1786 | btp_support_history.main_product | 스마트헬스케어 장비 || 기업 #1786#1786 | btp_support_history.support_item | 헬스케어,의료기기 사용적합성 평가실#15 | 임상의료장비 > 임상진단영상장비 > 달리 분류되지 않는 임상진단영상장비 @ 다대단지 || 휴대용 운동생리학적 신발 칼로리분석 시스템#25 | 임상의료장비 > 임상측정/진단장비 > 호흡기측정/진단장비 @ 녹산단지 || 인지 자극 측정 시스템#64 | 임상의료장비 > 임상측정/진단장비 > 달리 분류되지 않는 임상측정/진단장비 @ 엄궁단지 || 듀얼 시선 추적장비#73 | 임상의료장비 > 임상측정/진단장비 > 달리 분류되지 않는 임상측정/진단장비 @ 엄궁단지 || 이동형 모니터링 분석 시스템#97 | 임상의료장비 > 전문의학용특수장비 > 달리 분류되지 않는 전문의학용특수장비
방수,keep,,환경시험,환경시험,기계가공/시험장비,열유체장비,0.69,0.690,"기업/지원 데이터에서 1개 기업이 '파공방수패드' 등 방수 관련 3건 지원을 받고, 열유체장비 15종 장비 활용 중임.",1,3,15,7,"btp_support_history.main_product, btp_support_history.support_item",특정 제품명(파공방수패드)과 열유체시험장비 관련성이 뚜렷하여 유지 적합.,방수 관련 시험장비 15종과 7개 거점에서 지원내역 3건 확인됨.,"관련 장비 범위는 좁고 명확하나, 확장시 노이즈 가능성 존재.","환경시험, 방수, 열유체","기업 #2379#2379 | btp_support_history.main_product | 선박 파공방수패드, 원격 탈부착 사다리, 사다리 고정장치, 잔존유 배출장치, 화재 예방 제 || 기업 #2379#2379 | btp_support_history.support_item | WPP(파공방수패드) 품질 개선 || 기업 #2379#2379 | btp_support_history.support_item | 파공 방수패드 장비의 성능 개선 및 제작",항온항습시험기#50 | 기계가공/시험장비 > 열유체장비 > 항온/항습기 @ 지사단지 || 항온항습 시험장비#53 | 기계가공/시험장비 > 열유체장비 > 항온/항습기 @ 생곡단지 || 전열교환기 인증 시험실#57 | 기계가공/시험장비 > 열유체장비 > 열교환기 @ 지사단지 || 환기용 공기청정기 성능평가 시스템#72 | 기계가공/시험장비 > 열유체장비 > 유체정화기 @ 지사단지 || 증기 가압 시험기#89 | 기계가공/시험장비 > 열유체장비 > 압력장비 @ 장전단지
기기,drop,,기기 관련 장비 검증,,,,0.7,0.700,"'기기' 관련 키워드는 1개 기업과 3건에 등장하지만, 매우 포괄적이고 재료물성시험장비 3종과 연계됨.",1,3,3,3,btp_support_history.main_product,아주 광범위한 용어로 적용 범위 포착이 어렵고 노이즈 위험 높아 폐기 권장.,"치과용 기기 단일기업 3건에서 확인되나, 일반적 단어라 광범위 매칭 우려.",너무 일반적인 키워드로 판단 신뢰도 하락 가능.,"광범위, 일반용어",기업 #695#695 | btp_support_history.main_product | 치과용 기기 || 기업 #695#695 | btp_support_history.main_product | 치과용 기기,물성 측정기#105 | 기계가공/시험장비 > 재료물성시험장비 > 물성분석기 @ 장림단지 || 룸코너 테스터#127 | 기계가공/시험장비 > 재료물성시험장비 > 특성평가시스템 @ 미음단지 || 다축 모터 하중인가 시험기#226 | 기계가공/시험장비 > 재료물성시험장비 > 만능시험기 @ 다대단지
열교환기,keep,,열교환기 관련 장비 검증,열교환기 관련 장비 검증,기계가공/시험장비,열유체장비,0.7,0.700,"기업/지원 데이터에서 1개 기업이 열교환기를 포함해 3건 출현하며, 열유체장비 3종 장비 및 1개 거점과 연계됨.",1,3,3,1,"btp_support_history.main_product, company.main_product",구체적 설비명과 일치하며 명확한 장비군과 매칭되어 유지 적절.,열교환기와 관련된 장비 3종과 단일 기업의 지원내역이 교차 확인됨.,기업 및 장비 수가 적어 연관확장 유의 필요.,"열교환기, 기계가공","기업 #672#672 | btp_support_history.main_product | 열교환기 || 기업 #672#672 | btp_support_history.main_product | 열교환기, 압력용기 || 기업 #672#672 | company.main_product | 열교환기, 압력용기","가습기, 제습기,히터, Heat Pump 평가설비#30 | 기계가공/시험장비 > 열유체장비 > 열교환기 @ 지사단지 || 전열교환기 인증 시험실#57 | 기계가공/시험장비 > 열유체장비 > 열교환기 @ 지사단지 || 하이드롤리시스 해중합 나일론 섬유 실증 테스트베드#467 | 화합물전처리/분석장비 > 반응/혼합/분쇄장비 > 반응장비 @ 지사단지"
CCTV,keep,,정밀 관찰/영상분석,정밀 관찰/영상분석,광학/전자영상장비,,0.705,0.705,"CCTV 관련 키워드는 1개 기업 2건에서 확인되며, 광학/전자영상장비 48종과 11개 거점에서 활용됨.",1,2,48,11,btp_support_history.main_product,광학 영상장비 범주에 명확히 속하고 대상 기업·장비·거점 수가 충분히 확보됨.,CCTV 관련 기업 사례와 다수 장비 및 거점에서 일관된 매칭 자료 확보.,장비 범위가 넓어 일부 부정확 매칭이 있을 수 있음.,"영상분석, 광학장비, 관찰","기업 #2080#2080 | btp_support_history.main_product | WSSCCTVLESS || 기업 #2080#2080 | btp_support_history.main_product | 선박용cctv, 소화장치",광학현미경#4 | 광학/전자영상장비 > 현미경 > 광학현미경 @ 장림단지 || 공초점현미경#18 | 광학/전자영상장비 > 현미경 > 공초점현미경 @ 장림단지 || 적외선열화상카메라#20 | 광학/전자영상장비 > 카메라/영상처리장비 > 열화상카메라 || 현미경#28 | 광학/전자영상장비 > 현미경 > 디지털현미경 @ 장전단지 || 동영상 3차원 계측 및 동작분석 하이스피드카메라#36 | 광학/전자영상장비 > 카메라/영상처리장비 > 기타특수카메라 @ 녹산단지
관제,keep,,데이터/실감형 콘텐츠 검증,데이터/실감형 콘텐츠 검증,데이터처리장비,,0.775,0.775,"관제장비 관련 용어가 1개 기업 2건에서 등장하며, 데이터처리장비 29종과 7개 거점에서 검증됨.",1,2,29,7,"btp_support_history.main_product, company.main_product",데이터·관제 영역에 구체적으로 대응하며 충분한 장비 및 거점 데이터 확보됨.,관제장비 및 소프트웨어 관련 구체적 사례와 다수 장비 매칭 확인됨.,장비 분류가 넓어 확장 시 혼재 가능성 존재.,"데이터처리, 관제, 소프트웨어",기업 #1049#1049 | btp_support_history.main_product | 관제장비 및 주변장치 || 기업 #1049#1049 | company.main_product | 관제장비 및 주변장치/소프트웨어개발 및 유지보수,엔지니어링 협업 시스템#9 | 데이터처리장비 > 하드웨어 > 서버 @ 다대단지 || 주조성형해석프로그램#27 | 데이터처리장비 > 장비소프트웨어 > 계측/분석소프트웨어 @ 지사단지 || 논리설계 검증 소프트웨어#44 | 데이터처리장비 > 장비소프트웨어 > 연구장비기반소프트웨어 @ 지사단지 || 산업안전빅데이터플랫폼#52 | 데이터처리장비 > 하드웨어 > 서버 @ 수안단지 || 5G기반 드론 통합 관제 시스템#88 | 데이터처리장비 > 하드웨어 > 달리 분류되지 않는 하드웨어
신발,revise,신발 관련 물리적 측정장비,신발 관련 장비 검증,신발 관련 장비 검증,물리적측정장비,힘/토오크/압력/진공측정장비,0.77,0.770,"기업/지원 데이터에서 신발 부품 제조업을 포함해 1개 기업 2건 언급, 물리적 측정장비 19종과 3개 거점에서 맞춤 검증.",1,2,19,3,btp_support_history.main_product,'신발' 키워드가 의료기기 관련 평가와 별개로 물리적 측정장비 영역에서 특화되어 사용됨.,휴대용 칼로리분석 시스템 등 신발 관련 측정장비 사례 19종과 기업 지원 내용 확인.,광범위한 단어이나 물리적 측정장비에 한정해 안전성 확보 가능.,"물리측정, 신발, 성능평가",기업 #1786#1786 | btp_support_history.main_product | 신발 부분품 || 기업 #1786#1786 | btp_support_history.main_product | 신발 부분품 제조업,휴대용 운동생리학적 신발 칼로리분석 시스템#25 | 임상의료장비 > 임상측정/진단장비 > 호흡기측정/진단장비 @ 녹산단지 || 신발 내외부 열화상분석 카메라 시스템#143 | 광학/전자영상장비 > 카메라/영상처리장비 > 열화상카메라 @ 녹산단지 || 통합형 기능향상 신발 성능평가 테스트베드#149 | 환경조성/생산/사육시설장비 > 환경조성형시설장비 > 사용환경모사시설장비 @ 녹산단지 || 휴대용 운동생리학적 신발 칼로리분석 시스템#241 | 임상의료장비 > 임상측정/진단장비 > 호흡기측정/진단장비 @ 녹산단지 || 주로형 지면반발력 측정용 시스템#282 | 임상의료장비 > 전문의학용특수장비 > 달리 분류되지 않는 전문의학용특수장비 @ 녹산단지
원격,revise,원격 제어 자동화장비,원격 관련 장비 검증,원격 관련 장비 검증,기계가공/시험장비,자동화/이송 장비,0.715,0.715,"기업/지원 데이터에서 1개 기업이 원격 조종 관련 2건 언급하며, 자동화/이송장비 8종과 2개 거점에서 연계됨.",1,2,8,2,"btp_support_history.main_product, btp_support_history.support_item","'원격' 단어가 지나치게 일반적이나, 자동화·이송장비 영역으로 구체화 가능.",원격 조종 가능한 선박 승하선 사다리 및 산업용 드론 자동화장비 사례 검증됨.,범위가 광범위하므로 구체적 기술 범주 필요.,"원격제어, 자동화, 이송장비","기업 #2379#2379 | btp_support_history.main_product | 선박 파공방수패드, 원격 탈부착 사다리, 사다리 고정장치, 잔존유 배출장치, 화재 예방 제 || 기업 #2379#2379 | btp_support_history.support_item | 원격 조종이 가능한 선박 승하선 사다리",산업용 드론 플랫폼_회전익_소형#3 | 기계가공/시험장비 > 자동화/이송 장비 > 로봇 @ 지사단지 || 산업용 드론 플랫폼 회전익 중형#69 | 기계가공/시험장비 > 자동화/이송 장비 > 비행장비 @ 지사단지 || 산업용 드론 플랫폼 회전익 중형#166 | 기계가공/시험장비 > 자동화/이송 장비 > 비행장비 @ 지사단지 || 자동차용 실내 에어필터(cabin)의 가스오염물질 여과 성능평가 시스템#193 | 화합물전처리/분석장비 > 분리분석장비 > 가스크로마토그래피 @ 지사단지 || 인솔타입 족저압력 측정 시스템#200 | 물리적측정장비 > 힘/토오크/압력/진공측정장비 > 중력/압력/진공측정장비 @ 녹산단지
Valve,revise,Valve 관련 분리정제장비,Valve 관련 장비 검증,Valve 관련 장비 검증,화합물전처리/분석장비,분리정제장비,0.7,0.700,"기업/지원 데이터에서 Valve 관련 1개 기업이 2건 나타나며, 분리정제장비 5종과 4개 거점에서 적용됨.",1,2,5,4,btp_support_history.main_product,'Valve' 키워드는 일반적 영어 단어이나 장비 분류와 기업 사례가 명확해 특정 장비군으로 제한 권장.,Butterfly Valve 등 밸브 관련 제품과 분리정제장비 매칭이 분명함.,영문 키워드는 혼재 위험 있어 장비 분류 활용 필요.,"밸브, 분리정제장비, 화합물분석",기업 #1178#1178 | btp_support_history.main_product | Butterfly Valve Check Valve Sluice Valve || 기업 #1178#1178 | btp_support_history.main_product | Butterfly Valve Check Valve Sluice Valve,20리터회전식감압농축기#2 | 화합물전처리/분석장비 > 분리정제장비 > 증류/농축기 @ 일광단지 || 혼합 시스템#96 | 기계가공/시험장비 > 열유체장비 > 건조기 @ 일광단지 || 후면스퍼트#180 | 기계가공/시험장비 > 반도체장비 > 스퍼터 @ 장전단지 || 복합섬유 방염성 시험기#272 | 기계가공/시험장비 > 재료물성시험장비 > 달리 분류되지 않는 재료물성시험장비 @ 미음단지 || 가스센서평가시스템#305 | 전기/전자장비 > 측정시험장비 > 달리 분류되지 않는 측정시험장비 @ 수안단지
의약품,keep,,의약품 관련 장비 검증,의약품 관련 장비 검증,기계가공/시험장비,열유체장비,0.69,0.690,"btp_support_history.main_product 필드에서 1개 기업, 3개 열유체장비와 직접 일치하는 의약품 관련 용어가 확인되었습니다.",1,2,3,1,btp_support_history.main_product,1개 기업에서 2개 주요 소스 필드에 걸쳐 의약품 관련 정확한 장비군(열유체장비 등)이 명확히 매칭되어 신뢰도가 높음.,의약품 키워드는 1개 기업 3개의 기계가공 열유체장비와 직접 관련되어 있어 산업적 의미가 명확함.,적절한 산업분류에 부합하나 향후 다량 키워드 혼용 시 중복 가능성 고려 필요.,"제약, 기계가공, 열유체","기업 #695#695 | btp_support_history.main_product | 완제 의약품 제조업, 치과용기기, 정형외과용기기, 의료용기, 의료용구, 의료용재료, 의료기기 || 기업 #695#695 | btp_support_history.main_product | 완제 의약품, 제조업",혼합 시스템#96 | 기계가공/시험장비 > 열유체장비 > 건조기 @ 일광단지 || 연속원심분리기(관형)#240 | 화합물전처리/분석장비 > 분리정제장비 > 원심분리기 @ 일광단지 || 분무건조기(200kg)#261 | 기계가공/시험장비 > 열유체장비 > 건조기 @ 일광단지
다이나믹,revise,다이나믹 밸런스,다이나믹 관련 장비 검증,다이나믹 밸런스 장비 검증,물리적측정장비,힘/토오크/압력/진공측정장비,0.685,0.685,btp_support_history 내 1개 기업이 다이나믹 밸런스 관련 용어와 물리적측정장비 분야 2개 장비에서 확인되었습니다.,1,2,2,0,"btp_support_history.main_product, btp_support_history.support_item","원 키워드 '다이나믹'은 너무 광범위하여, 기업과 장비 데이터에서 직접 매칭된 '다이나믹 밸런스'로 구체화하는 것이 적합함.",1개 기업 소스와 2개 장비가 '다이나믹 밸런스'로 명확히 연결되어 있어 정확도 제고 필요.,단일 키워드 '다이나믹'은 일반적 용어로 오탐 위험이 존재함.,"물리측정, 밸런스, 정밀측정",기업 #1786#1786 | btp_support_history.main_product | 다이나믹 밸런스 || 기업 #1786#1786 | btp_support_history.support_item | 다이나믹 밸런스,퓨리에 변환 적외선 분광기#87 | 화합물전처리/분석장비 > 분광분석장비 > 푸리에변환적외선분광기 || 다이나믹 광 산란 측정기#209 | 화합물전처리/분석장비 > 입자분석장비 > 제타전위측정기
