keyword,function_name,equipment_category_large,equipment_category_middle,confidence,company_count,source_match_count,equipment_count,hub_count,source_fields,source_examples,equipment_examples,discovery_method,evidence_template
깔창,의료기기 사용성/성능평가,임상의료장비,,0.725,1,4,24,3,btp_support_history.main_product,"기업 #1786#1786 | btp_support_history.main_product | 기능성 깔창 || 기업 #1786#1786 | btp_support_history.main_product | 기능성 깔창, 균형 능력 측정 장비 || 기업 #1786#1786 | btp_support_history.main_product | 기능성 인솔(깔창) || 기업 #1786#1786 | btp_support_history.main_product | 기능성깔창, 균형능력측정",의료기기 사용적합성 평가실#15 | 임상의료장비 > 임상진단영상장비 > 달리 분류되지 않는 임상진단영상장비 @ 다대단지 || 휴대용 운동생리학적 신발 칼로리분석 시스템#25 | 임상의료장비 > 임상측정/진단장비 > 호흡기측정/진단장비 @ 녹산단지 || 인지 자극 측정 시스템#64 | 임상의료장비 > 임상측정/진단장비 > 달리 분류되지 않는 임상측정/진단장비 @ 엄궁단지 || 듀얼 시선 추적장비#73 | 임상의료장비 > 임상측정/진단장비 > 달리 분류되지 않는 임상측정/진단장비 @ 엄궁단지 || 이동형 모니터링 분석 시스템#97 | 임상의료장비 > 전문의학용특수장비 > 달리 분류되지 않는 전문의학용특수장비,profile,{sourceField}의 '{keyword}' 제품 표현이 1개 기업에서 확인되어 {functionName} 근거로 사용했습니다
치과,의료기기 사용성/성능평가,임상의료장비,,0.725,1,4,24,3,btp_support_history.main_product,"기업 #695#695 | btp_support_history.main_product | 완제 의약품 제조업, 치과용기기, 정형외과용기기, 의료용기, 의료용구, 의료용재료, 의료기기 || 기업 #695#695 | btp_support_history.main_product | 치과용 기기 || 기업 #695#695 | btp_support_history.main_product | 치과용 기기",의료기기 사용적합성 평가실#15 | 임상의료장비 > 임상진단영상장비 > 달리 분류되지 않는 임상진단영상장비 @ 다대단지 || 휴대용 운동생리학적 신발 칼로리분석 시스템#25 | 임상의료장비 > 임상측정/진단장비 > 호흡기측정/진단장비 @ 녹산단지 || 인지 자극 측정 시스템#64 | 임상의료장비 > 임상측정/진단장비 > 달리 분류되지 않는 임상측정/진단장비 @ 엄궁단지 || 듀얼 시선 추적장비#73 | 임상의료장비 > 임상측정/진단장비 > 달리 분류되지 않는 임상측정/진단장비 @ 엄궁단지 || 이동형 모니터링 분석 시스템#97 | 임상의료장비 > 전문의학용특수장비 > 달리 분류되지 않는 전문의학용특수장비,profile,임상의료장비 분류의 연결 장비가 24건 확인되어 '{keyword}'를 {functionName} 판단 단서로 삼았습니다
밸브,밸브 관련 장비 검증,화합물전처리/분석장비,입자분석장비,0.705,1,4,2,1,"btp_support_history.main_product, btp_support_history.support_item","기업 #1178#1178 | btp_support_history.main_product | 버터플라이 밸브 || 기업 #1178#1178 | btp_support_history.main_product | 버터플라이 밸브, 듀얼체크밸브, 체크밸브, 수문밸브 || 기업 #1178#1178 | btp_support_history.support_item | 메탄올 연료장치 시스템용 메탄올 밸브 제작 || 기업 #1178#1178 | btp_support_history.support_item | 수소가스 생산설비용 자동제어 버터플라이 밸브",미세먼지 마스크 성능평가 시험 시스템#336 | 화합물전처리/분석장비 > 입자분석장비 > 달리 분류되지 않는 입자분석장비 @ 지사단지 || 가스 밸브 유동 시험장비#379 | 물리적측정장비 > 유체특성측정장비 > 유량계/수량계 @ 지사단지,direct-text-overlap,지원품목 데이터 4건에서 '{keyword}'가 반복되고 입자분석장비 분류 장비 2건과 맞물려 {functionName}으로 보았습니다
골이식재,의료기기 사용성/성능평가,임상의료장비,,0.715,1,3,24,3,"btp_support_history.main_product, company.main_product","기업 #695#695 | btp_support_history.main_product | 골이식재 || 기업 #695#695 | btp_support_history.main_product | 골이식재, 멤브레인 || 기업 #695#695 | company.main_product | 골이식재_덴탈",의료기기 사용적합성 평가실#15 | 임상의료장비 > 임상진단영상장비 > 달리 분류되지 않는 임상진단영상장비 @ 다대단지 || 휴대용 운동생리학적 신발 칼로리분석 시스템#25 | 임상의료장비 > 임상측정/진단장비 > 호흡기측정/진단장비 @ 녹산단지 || 인지 자극 측정 시스템#64 | 임상의료장비 > 임상측정/진단장비 > 달리 분류되지 않는 임상측정/진단장비 @ 엄궁단지 || 듀얼 시선 추적장비#73 | 임상의료장비 > 임상측정/진단장비 > 달리 분류되지 않는 임상측정/진단장비 @ 엄궁단지 || 이동형 모니터링 분석 시스템#97 | 임상의료장비 > 전문의학용특수장비 > 달리 분류되지 않는 전문의학용특수장비,profile,기업 제품군의 '{keyword}' 특성이 임상의료장비 분류와 맞아 {functionName} 후보로 잡았습니다
신발,의료기기 사용성/성능평가,임상의료장비,,0.785,1,3,24,3,btp_support_history.main_product,"기업 #1786#1786 | btp_support_history.main_product | 건강지표측정장비, 기타신발 || 기업 #1786#1786 | btp_support_history.main_product | 신발 부분품 || 기업 #1786#1786 | btp_support_history.main_product | 신발 부분품 제조업",의료기기 사용적합성 평가실#15 | 임상의료장비 > 임상진단영상장비 > 달리 분류되지 않는 임상진단영상장비 @ 다대단지 || 휴대용 운동생리학적 신발 칼로리분석 시스템#25 | 임상의료장비 > 임상측정/진단장비 > 호흡기측정/진단장비 @ 녹산단지 || 인지 자극 측정 시스템#64 | 임상의료장비 > 임상측정/진단장비 > 달리 분류되지 않는 임상측정/진단장비 @ 엄궁단지 || 듀얼 시선 추적장비#73 | 임상의료장비 > 임상측정/진단장비 > 달리 분류되지 않는 임상측정/진단장비 @ 엄궁단지 || 이동형 모니터링 분석 시스템#97 | 임상의료장비 > 전문의학용특수장비 > 달리 분류되지 않는 전문의학용특수장비,profile,{sourceField}의 '{keyword}' 제품 표현이 1개 기업에서 확인되어 {functionName} 근거로 사용했습니다
헬스케어,의료기기 사용성/성능평가,임상의료장비,,0.715,1,3,24,3,"btp_support_history.main_product, btp_support_history.support_item",기업 #1786#1786 | btp_support_history.main_product | 스마트헬스케어 장비 || 기업 #1786#1786 | btp_support_history.support_item | 헬스케어,의료기기 사용적합성 평가실#15 | 임상의료장비 > 임상진단영상장비 > 달리 분류되지 않는 임상진단영상장비 @ 다대단지 || 휴대용 운동생리학적 신발 칼로리분석 시스템#25 | 임상의료장비 > 임상측정/진단장비 > 호흡기측정/진단장비 @ 녹산단지 || 인지 자극 측정 시스템#64 | 임상의료장비 > 임상측정/진단장비 > 달리 분류되지 않는 임상측정/진단장비 @ 엄궁단지 || 듀얼 시선 추적장비#73 | 임상의료장비 > 임상측정/진단장비 > 달리 분류되지 않는 임상측정/진단장비 @ 엄궁단지 || 이동형 모니터링 분석 시스템#97 | 임상의료장비 > 전문의학용특수장비 > 달리 분류되지 않는 전문의학용특수장비,profile,임상의료장비 분류의 연결 장비가 24건 확인되어 '{keyword}'를 {functionName} 판단 단서로 삼았습니다
방수,환경시험,기계가공/시험장비,열유체장비,0.690,1,3,15,7,"btp_support_history.main_product, btp_support_history.support_item","기업 #2379#2379 | btp_support_history.main_product | 선박 파공방수패드, 원격 탈부착 사다리, 사다리 고정장치, 잔존유 배출장치, 화재 예방 제 || 기업 #2379#2379 | btp_support_history.support_item | WPP(파공방수패드) 품질 개선 || 기업 #2379#2379 | btp_support_history.support_item | 파공 방수패드 장비의 성능 개선 및 제작",항온항습시험기#50 | 기계가공/시험장비 > 열유체장비 > 항온/항습기 @ 지사단지 || 항온항습 시험장비#53 | 기계가공/시험장비 > 열유체장비 > 항온/항습기 @ 생곡단지 || 전열교환기 인증 시험실#57 | 기계가공/시험장비 > 열유체장비 > 열교환기 @ 지사단지 || 환기용 공기청정기 성능평가 시스템#72 | 기계가공/시험장비 > 열유체장비 > 유체정화기 @ 지사단지 || 증기 가압 시험기#89 | 기계가공/시험장비 > 열유체장비 > 압력장비 @ 장전단지,profile,지원품목 데이터 3건에서 '{keyword}'가 반복되고 열유체장비 분류 장비 15건과 맞물려 {functionName}으로 보았습니다
기기,기기 관련 장비 검증,기계가공/시험장비,재료물성시험장비,0.700,1,3,3,3,btp_support_history.main_product,기업 #695#695 | btp_support_history.main_product | 치과용 기기 || 기업 #695#695 | btp_support_history.main_product | 치과용 기기,물성 측정기#105 | 기계가공/시험장비 > 재료물성시험장비 > 물성분석기 @ 장림단지 || 룸코너 테스터#127 | 기계가공/시험장비 > 재료물성시험장비 > 특성평가시스템 @ 미음단지 || 다축 모터 하중인가 시험기#226 | 기계가공/시험장비 > 재료물성시험장비 > 만능시험기 @ 다대단지,direct-text-overlap,기업 제품군의 '{keyword}' 특성이 기계가공/시험장비 분류와 맞아 {functionName} 후보로 잡았습니다
열교환기,열교환기 관련 장비 검증,기계가공/시험장비,열유체장비,0.700,1,3,3,1,"btp_support_history.main_product, company.main_product","기업 #672#672 | btp_support_history.main_product | 열교환기 || 기업 #672#672 | btp_support_history.main_product | 열교환기, 압력용기 || 기업 #672#672 | company.main_product | 열교환기, 압력용기","가습기, 제습기,히터, Heat Pump 평가설비#30 | 기계가공/시험장비 > 열유체장비 > 열교환기 @ 지사단지 || 전열교환기 인증 시험실#57 | 기계가공/시험장비 > 열유체장비 > 열교환기 @ 지사단지 || 하이드롤리시스 해중합 나일론 섬유 실증 테스트베드#467 | 화합물전처리/분석장비 > 반응/혼합/분쇄장비 > 반응장비 @ 지사단지",direct-text-overlap,{sourceField}의 '{keyword}' 제품 표현이 1개 기업에서 확인되어 {functionName} 근거로 사용했습니다
CCTV,정밀 관찰/영상분석,광학/전자영상장비,,0.705,1,2,48,11,btp_support_history.main_product,"기업 #2080#2080 | btp_support_history.main_product | WSSCCTVLESS || 기업 #2080#2080 | btp_support_history.main_product | 선박용cctv, 소화장치",광학현미경#4 | 광학/전자영상장비 > 현미경 > 광학현미경 @ 장림단지 || 공초점현미경#18 | 광학/전자영상장비 > 현미경 > 공초점현미경 @ 장림단지 || 적외선열화상카메라#20 | 광학/전자영상장비 > 카메라/영상처리장비 > 열화상카메라 || 현미경#28 | 광학/전자영상장비 > 현미경 > 디지털현미경 @ 장전단지 || 동영상 3차원 계측 및 동작분석 하이스피드카메라#36 | 광학/전자영상장비 > 카메라/영상처리장비 > 기타특수카메라 @ 녹산단지,profile,광학/전자영상장비 분류의 연결 장비가 48건 확인되어 '{keyword}'를 {functionName} 판단 단서로 삼았습니다
관제,데이터/실감형 콘텐츠 검증,데이터처리장비,,0.775,1,2,29,7,"btp_support_history.main_product, company.main_product",기업 #1049#1049 | btp_support_history.main_product | 관제장비 및 주변장치 || 기업 #1049#1049 | company.main_product | 관제장비 및 주변장치/소프트웨어개발 및 유지보수,엔지니어링 협업 시스템#9 | 데이터처리장비 > 하드웨어 > 서버 @ 다대단지 || 주조성형해석프로그램#27 | 데이터처리장비 > 장비소프트웨어 > 계측/분석소프트웨어 @ 지사단지 || 논리설계 검증 소프트웨어#44 | 데이터처리장비 > 장비소프트웨어 > 연구장비기반소프트웨어 @ 지사단지 || 산업안전빅데이터플랫폼#52 | 데이터처리장비 > 하드웨어 > 서버 @ 수안단지 || 5G기반 드론 통합 관제 시스템#88 | 데이터처리장비 > 하드웨어 > 달리 분류되지 않는 하드웨어,profile,주요제품 데이터에서 '{keyword}'가 확인되고 관련 장비 29건이 있어 {functionName}과 매칭했습니다
신발,신발 관련 장비 검증,물리적측정장비,힘/토오크/압력/진공측정장비,0.770,1,2,19,3,btp_support_history.main_product,기업 #1786#1786 | btp_support_history.main_product | 신발 부분품 || 기업 #1786#1786 | btp_support_history.main_product | 신발 부분품 제조업,휴대용 운동생리학적 신발 칼로리분석 시스템#25 | 임상의료장비 > 임상측정/진단장비 > 호흡기측정/진단장비 @ 녹산단지 || 신발 내외부 열화상분석 카메라 시스템#143 | 광학/전자영상장비 > 카메라/영상처리장비 > 열화상카메라 @ 녹산단지 || 통합형 기능향상 신발 성능평가 테스트베드#149 | 환경조성/생산/사육시설장비 > 환경조성형시설장비 > 사용환경모사시설장비 @ 녹산단지 || 휴대용 운동생리학적 신발 칼로리분석 시스템#241 | 임상의료장비 > 임상측정/진단장비 > 호흡기측정/진단장비 @ 녹산단지 || 주로형 지면반발력 측정용 시스템#282 | 임상의료장비 > 전문의학용특수장비 > 달리 분류되지 않는 전문의학용특수장비 @ 녹산단지,direct-text-overlap,{sourceField}의 '{keyword}' 제품 표현이 1개 기업에서 확인되어 {functionName} 근거로 사용했습니다
원격,원격 관련 장비 검증,기계가공/시험장비,자동화/이송 장비,0.715,1,2,8,2,"btp_support_history.main_product, btp_support_history.support_item","기업 #2379#2379 | btp_support_history.main_product | 선박 파공방수패드, 원격 탈부착 사다리, 사다리 고정장치, 잔존유 배출장치, 화재 예방 제 || 기업 #2379#2379 | btp_support_history.support_item | 원격 조종이 가능한 선박 승하선 사다리",산업용 드론 플랫폼_회전익_소형#3 | 기계가공/시험장비 > 자동화/이송 장비 > 로봇 @ 지사단지 || 산업용 드론 플랫폼 회전익 중형#69 | 기계가공/시험장비 > 자동화/이송 장비 > 비행장비 @ 지사단지 || 산업용 드론 플랫폼 회전익 중형#166 | 기계가공/시험장비 > 자동화/이송 장비 > 비행장비 @ 지사단지 || 자동차용 실내 에어필터(cabin)의 가스오염물질 여과 성능평가 시스템#193 | 화합물전처리/분석장비 > 분리분석장비 > 가스크로마토그래피 @ 지사단지 || 인솔타입 족저압력 측정 시스템#200 | 물리적측정장비 > 힘/토오크/압력/진공측정장비 > 중력/압력/진공측정장비 @ 녹산단지,direct-text-overlap,지원 이력의 '{keyword}' 항목이 2개 BTP 거점 장비와 연결되어 {functionName} 수요로 해석했습니다
Valve,Valve 관련 장비 검증,화합물전처리/분석장비,분리정제장비,0.700,1,2,5,4,btp_support_history.main_product,기업 #1178#1178 | btp_support_history.main_product | Butterfly Valve Check Valve Sluice Valve || 기업 #1178#1178 | btp_support_history.main_product | Butterfly Valve Check Valve Sluice Valve,20리터회전식감압농축기#2 | 화합물전처리/분석장비 > 분리정제장비 > 증류/농축기 @ 일광단지 || 혼합 시스템#96 | 기계가공/시험장비 > 열유체장비 > 건조기 @ 일광단지 || 후면스퍼트#180 | 기계가공/시험장비 > 반도체장비 > 스퍼터 @ 장전단지 || 복합섬유 방염성 시험기#272 | 기계가공/시험장비 > 재료물성시험장비 > 달리 분류되지 않는 재료물성시험장비 @ 미음단지 || 가스센서평가시스템#305 | 전기/전자장비 > 측정시험장비 > 달리 분류되지 않는 측정시험장비 @ 수안단지,direct-text-overlap,기업 문구와 장비 정보 양쪽에 '{keyword}'가 직접 나타나고 장비 5건이 확인되어 {functionName}으로 연결했습니다
의약품,의약품 관련 장비 검증,기계가공/시험장비,열유체장비,0.690,1,2,3,1,btp_support_history.main_product,"기업 #695#695 | btp_support_history.main_product | 완제 의약품 제조업, 치과용기기, 정형외과용기기, 의료용기, 의료용구, 의료용재료, 의료기기 || 기업 #695#695 | btp_support_history.main_product | 완제 의약품, 제조업",혼합 시스템#96 | 기계가공/시험장비 > 열유체장비 > 건조기 @ 일광단지 || 연속원심분리기(관형)#240 | 화합물전처리/분석장비 > 분리정제장비 > 원심분리기 @ 일광단지 || 분무건조기(200kg)#261 | 기계가공/시험장비 > 열유체장비 > 건조기 @ 일광단지,direct-text-overlap,주요제품 데이터에서 '{keyword}'가 확인되고 관련 장비 3건이 있어 {functionName}과 매칭했습니다
다이나믹,다이나믹 관련 장비 검증,화합물전처리/분석장비,분광분석장비,0.685,1,2,2,0,"btp_support_history.main_product, btp_support_history.support_item",기업 #1786#1786 | btp_support_history.main_product | 다이나믹 밸런스 || 기업 #1786#1786 | btp_support_history.support_item | 다이나믹 밸런스,퓨리에 변환 적외선 분광기#87 | 화합물전처리/분석장비 > 분광분석장비 > 푸리에변환적외선분광기 || 다이나믹 광 산란 측정기#209 | 화합물전처리/분석장비 > 입자분석장비 > 제타전위측정기,direct-text-overlap,{sourceField}에 적힌 '{keyword}'가 1개 기업 이력에서 확인되어 {functionName} 연결 근거가 됩니다
밸런스,밸런스 관련 장비 검증,물리적측정장비,힘/토오크/압력/진공측정장비,0.685,1,2,2,1,"btp_support_history.main_product, btp_support_history.support_item",기업 #1786#1786 | btp_support_history.main_product | 다이나믹 밸런스 || 기업 #1786#1786 | btp_support_history.support_item | 다이나믹 밸런스,맨발 족저압력 및 보행분석 시스템#141 | 물리적측정장비 > 힘/토오크/압력/진공측정장비 > 달리 분류되지 않는 힘/토오크/압력/진공 측정장비 @ 녹산단지 || 맨발 족저압력 및 보행분석 시스템#232 | 물리적측정장비 > 힘/토오크/압력/진공측정장비 > 달리 분류되지 않는 힘/토오크/압력/진공 측정장비 @ 녹산단지,direct-text-overlap,지원 이력의 '{keyword}' 항목이 1개 BTP 거점 장비와 연결되어 {functionName} 수요로 해석했습니다
사다리,사다리 관련 장비 검증,환경조성/생산/사육시설장비,이동형시설장비,0.685,1,2,2,1,"btp_support_history.main_product, btp_support_history.support_item","기업 #2379#2379 | btp_support_history.main_product | 선박 파공방수패드, 원격 탈부착 사다리, 사다리 고정장치, 잔존유 배출장치, 화재 예방 제 || 기업 #2379#2379 | btp_support_history.support_item | 원격 조종이 가능한 선박 승하선 사다리",이동식 드론 관제 차량#33 | 환경조성/생산/사육시설장비 > 이동형시설장비 > 연구용자동차 @ 지사단지 || 이동식 드론 관제 차량#262 | 환경조성/생산/사육시설장비 > 이동형시설장비 > 연구용자동차 @ 지사단지,direct-text-overlap,기업 문구와 장비 정보 양쪽에 '{keyword}'가 직접 나타나고 장비 2건이 확인되어 {functionName}으로 연결했습니다
튜브,튜브 관련 장비 검증,광학/전자영상장비,방사선발생/측정장비,0.685,1,2,2,1,"btp_support_history.main_product, company.main_product","기업 #616#616 | btp_support_history.main_product | 스테인리스강 파이프&튜브, 이형단면재 || 기업 #616#616 | company.main_product | 금속냉간가공(튜브,파이프,고정밀부품 외), 금속가공기술개발",고정밀 CT 측정기#103 | 광학/전자영상장비 > 방사선발생/측정장비 > X-선발생기 @ 생곡단지 || 리크시험기#220 | 물리적측정장비 > 유체특성측정장비 > 유량계/수량계 @ 생곡단지,direct-text-overlap,주요제품 데이터에서 '{keyword}'가 확인되고 관련 장비 2건이 있어 {functionName}과 매칭했습니다
Butterfly,Butterfly 관련 장비 검증,기계가공/시험장비,열유체장비,0.680,1,2,1,1,btp_support_history.main_product,기업 #1178#1178 | btp_support_history.main_product | Butterfly Valve Check Valve Sluice Valve || 기업 #1178#1178 | btp_support_history.main_product | Butterfly Valve Check Valve Sluice Valve,혼합 시스템#96 | 기계가공/시험장비 > 열유체장비 > 건조기 @ 일광단지,direct-text-overlap,기업 제품군의 '{keyword}' 특성이 기계가공/시험장비 분류와 맞아 {functionName} 후보로 잡았습니다
Check,Check 관련 장비 검증,물리적측정장비,힘/토오크/압력/진공측정장비,0.680,1,2,1,1,btp_support_history.main_product,기업 #1178#1178 | btp_support_history.main_product | Butterfly Valve Check Valve Sluice Valve || 기업 #1178#1178 | btp_support_history.main_product | Butterfly Valve Check Valve Sluice Valve,지면반력 센서#252 | 물리적측정장비 > 힘/토오크/압력/진공측정장비 > 달리 분류되지 않는 힘/토오크/압력/진공 측정장비 @ 다대단지,direct-text-overlap,{sourceField}의 '{keyword}' 제품 표현이 1개 기업에서 확인되어 {functionName} 근거로 사용했습니다
체크밸브,체크밸브 관련 장비 검증,물리적측정장비,유체특성측정장비,0.680,1,2,1,1,btp_support_history.main_product,"기업 #1178#1178 | btp_support_history.main_product | 버터플라이 밸브, 듀얼체크밸브, 체크밸브, 수문밸브 || 기업 #1178#1178 | btp_support_history.main_product | 버터플라이밸브, 체크밸브",가스 밸브 유동 시험장비#379 | 물리적측정장비 > 유체특성측정장비 > 유량계/수량계 @ 지사단지,direct-text-overlap,기업 문구와 장비 정보 양쪽에 '{keyword}'가 직접 나타나고 장비 1건이 확인되어 {functionName}으로 연결했습니다
파이프,파이프 관련 장비 검증,화합물전처리/분석장비,분리분석장비,0.680,1,2,1,1,"btp_support_history.main_product, company.main_product","기업 #616#616 | btp_support_history.main_product | 스테인리스강 파이프&튜브, 이형단면재 || 기업 #616#616 | company.main_product | 금속냉간가공(튜브,파이프,고정밀부품 외), 금속가공기술개발",자동차용 실내 에어필터(cabin)의 가스오염물질 여과 성능평가 시스템#193 | 화합물전처리/분석장비 > 분리분석장비 > 가스크로마토그래피 @ 지사단지,direct-text-overlap,주요제품 데이터에서 '{keyword}'가 확인되고 관련 장비 1건이 있어 {functionName}과 매칭했습니다
측정,측정 관련 장비 검증,임상의료장비,임상측정/진단장비,0.765,1,1,112,11,btp_support_history.main_product,"기업 #1786#1786 | btp_support_history.main_product | 기능성 깔창, 균형 능력 측정 장비",미세먼지 간이측정기 반복재현성 평가 장비#5 | 화합물전처리/분석장비 > 입자분석장비 > 입도분석기 @ 지사단지 || 완제품 및 인체영향 성능평가 시험환경#10 | 환경조성/생산/사육시설장비 > 환경조성형시설장비 > 사용환경모사시설장비 @ 녹산단지 || 동적 특성기#19 | 전기/전자장비 > 측정시험장비 > 전압/전류/전력측정시험장비 @ 지사단지 || 주행차량 전자파 내성 측정 시스템#22 | 전기/전자장비 > 측정시험장비 > 전자파측정시험장비 @ 지사단지 || 휴대용 운동생리학적 신발 칼로리분석 시스템#25 | 임상의료장비 > 임상측정/진단장비 > 호흡기측정/진단장비 @ 녹산단지,direct-text-overlap,임상의료장비 분류의 연결 장비가 112건 확인되어 '{keyword}'를 {functionName} 판단 단서로 삼았습니다
금속,재료물성시험,기계가공/시험장비,재료물성시험장비,0.695,1,1,61,8,company.main_product,"기업 #616#616 | company.main_product | 금속냉간가공(튜브,파이프,고정밀부품 외), 금속가공기술개발",미세먼지 간이측정기 등가성 평가장비#6 | 기계가공/시험장비 > 재료물성시험장비 > 분진시험기 @ 지사단지 || 비틀림시험기#24 | 기계가공/시험장비 > 재료물성시험장비 > 만능피로시험기 @ 지사단지 || 동적하중 만능재료시험기#26 | 기계가공/시험장비 > 재료물성시험장비 > 진동내구시험장비 @ 지사단지 || 인장시험기#32 | 기계가공/시험장비 > 재료물성시험장비 > 만능시험기 @ 지사단지 || 열충격 시험기#74 | 기계가공/시험장비 > 재료물성시험장비 > 열충격시험기 @ 장안단지,profile,{sourceField}의 '{keyword}' 제품 표현이 1개 기업에서 확인되어 {functionName} 근거로 사용했습니다
데이터,데이터 관련 장비 검증,물리적측정장비,힘/토오크/압력/진공측정장비,0.765,1,1,58,9,btp_support_history.support_item,기업 #1786#1786 | btp_support_history.support_item | Dynamic Balance 데이터 및 할룩스 매직 인솔을 활용한 운동 APP 시제품 개발,엔지니어링 협업 시스템#9 | 데이터처리장비 > 하드웨어 > 서버 @ 다대단지 || 의료기기 사용적합성 평가실#15 | 임상의료장비 > 임상진단영상장비 > 달리 분류되지 않는 임상진단영상장비 @ 다대단지 || 동영상 3차원 계측 및 동작분석 하이스피드카메라#36 | 광학/전자영상장비 > 카메라/영상처리장비 > 기타특수카메라 @ 녹산단지 || 초고화질 영상촬영 시스템#43 | 광학/전자영상장비 > 카메라/영상처리장비 > 디지털카메라 @ 지사단지 || 인지 자극 측정 시스템#64 | 임상의료장비 > 임상측정/진단장비 > 달리 분류되지 않는 임상측정/진단장비 @ 엄궁단지,direct-text-overlap,{sourceField}에 적힌 '{keyword}'가 1개 기업 이력에서 확인되어 {functionName} 연결 근거가 됩니다
구성,구성 관련 장비 검증,기계가공/시험장비,자동화/이송 장비,0.765,1,1,52,10,btp_support_history.main_product,기업 #2379#2379 | btp_support_history.main_product | 선박 구성 부분품,"CDM 시험기#13 | 전기/전자장비 > 측정시험장비 > 달리 분류되지 않는 측정시험장비 @ 장전단지 || 동적하중 만능재료시험기#26 | 기계가공/시험장비 > 재료물성시험장비 > 진동내구시험장비 @ 지사단지 || 가습기, 제습기,히터, Heat Pump 평가설비#30 | 기계가공/시험장비 > 열유체장비 > 열교환기 @ 지사단지 || 산업용 드론 플랫폼 회전익 소형#37 | 기계가공/시험장비 > 자동화/이송 장비 > 비행장비 @ 지사단지 || 마이크로스코프#42 | 기계가공/시험장비 > 반도체장비 > 광학검사기 @ 장전단지",direct-text-overlap,{sourceField}의 '{keyword}' 제품 표현이 1개 기업에서 확인되어 {functionName} 근거로 사용했습니다
영상,정밀 관찰/영상분석,광학/전자영상장비,,0.765,1,1,48,11,btp_support_history.main_product,"기업 #2080#2080 | btp_support_history.main_product | 영상감시장치, 선박구성부분품",광학현미경#4 | 광학/전자영상장비 > 현미경 > 광학현미경 @ 장림단지 || 공초점현미경#18 | 광학/전자영상장비 > 현미경 > 공초점현미경 @ 장림단지 || 적외선열화상카메라#20 | 광학/전자영상장비 > 카메라/영상처리장비 > 열화상카메라 || 현미경#28 | 광학/전자영상장비 > 현미경 > 디지털현미경 @ 장전단지 || 동영상 3차원 계측 및 동작분석 하이스피드카메라#36 | 광학/전자영상장비 > 카메라/영상처리장비 > 기타특수카메라 @ 녹산단지,profile,기업 제품군의 '{keyword}' 특성이 광학/전자영상장비 분류와 맞아 {functionName} 후보로 잡았습니다
카메라,정밀 관찰/영상분석,광학/전자영상장비,,0.765,1,1,48,11,btp_support_history.support_item,기업 #2080#2080 | btp_support_history.support_item | 3축 동요 안정기가 적용된 해상 충돌 방지 시스템용 주야간 감시 카메라 시제품 및 특허 지원,광학현미경#4 | 광학/전자영상장비 > 현미경 > 광학현미경 @ 장림단지 || 공초점현미경#18 | 광학/전자영상장비 > 현미경 > 공초점현미경 @ 장림단지 || 적외선열화상카메라#20 | 광학/전자영상장비 > 카메라/영상처리장비 > 열화상카메라 || 현미경#28 | 광학/전자영상장비 > 현미경 > 디지털현미경 @ 장전단지 || 동영상 3차원 계측 및 동작분석 하이스피드카메라#36 | 광학/전자영상장비 > 카메라/영상처리장비 > 기타특수카메라 @ 녹산단지,profile,지원 이력의 '{keyword}' 항목이 11개 BTP 거점 장비와 연결되어 {functionName} 수요로 해석했습니다
카메라,카메라 관련 장비 검증,기계가공/시험장비,자동화/이송 장비,0.765,1,1,36,7,btp_support_history.support_item,기업 #2080#2080 | btp_support_history.support_item | 3축 동요 안정기가 적용된 해상 충돌 방지 시스템용 주야간 감시 카메라 시제품 및 특허 지원,산업용 드론 플랫폼_회전익_소형#3 | 기계가공/시험장비 > 자동화/이송 장비 > 로봇 @ 지사단지 || 의료기기 사용적합성 평가실#15 | 임상의료장비 > 임상진단영상장비 > 달리 분류되지 않는 임상진단영상장비 @ 다대단지 || 동영상 3차원 계측 및 동작분석 하이스피드카메라#36 | 광학/전자영상장비 > 카메라/영상처리장비 > 기타특수카메라 @ 녹산단지 || 산업용 드론 플랫폼 회전익 소형#37 | 기계가공/시험장비 > 자동화/이송 장비 > 비행장비 @ 지사단지 || 마이크로스코프#42 | 기계가공/시험장비 > 반도체장비 > 광학검사기 @ 장전단지,direct-text-overlap,지원품목 데이터 1건에서 '{keyword}'가 반복되고 자동화/이송 장비 분류 장비 36건과 맞물려 {functionName}으로 보았습니다
가능한,가능한 관련 장비 검증,기계가공/시험장비,자동화/이송 장비,0.765,1,1,33,10,btp_support_history.support_item,기업 #2379#2379 | btp_support_history.support_item | 원격 조종이 가능한 선박 승하선 사다리,완제품 및 인체영향 성능평가 시험환경#10 | 환경조성/생산/사육시설장비 > 환경조성형시설장비 > 사용환경모사시설장비 @ 녹산단지 || 산업용 드론 플랫폼 회전익 중형#69 | 기계가공/시험장비 > 자동화/이송 장비 > 비행장비 @ 지사단지 || 디캡 스테이션#93 | 기계가공/시험장비 > 반도체장비 > 달리 분류되지 않는 반도체장비 @ 장전단지 || 고정밀 CT 측정기#103 | 광학/전자영상장비 > 방사선발생/측정장비 > X-선발생기 @ 생곡단지 || 공기 초가속 수명 시험기#128 | 기계가공/시험장비 > 재료물성시험장비 > 가속수명시험기 @ 장전단지,direct-text-overlap,{sourceField}에 적힌 '{keyword}'가 1개 기업 이력에서 확인되어 {functionName} 연결 근거가 됩니다
